buildingtypeid,class1,class2,class3,class4,class5,class6
1,Luxury (for buildings with 10+ corners),Semi-Luxury (for buildings with 10+ corners),Best Std.,Good Std.,Average Std.,Minimum Std.
2,Best,Good,High Average,Low Average,Minimum,
3,Best,Good,Average,Low,,
5,Luxury (for buildings with 10+ corners only),Semi-Luxury (for buildings with 10+ corners only),Best Std.,Good Std.,Avg. Std.,Min. Std.
6,Best,Good,Average,Low,,
10,Best,Good,High Average,Low Average,Low,Minimum
11,Best,Good,Average,Low,,
12,Best,Good,Average,Low,,
13,Best,Good,Average,Low,,
14,Best,Good,Average,Low,,
15,Best,Good,Average,Low,,
16,Best,Good,Average,Low,,
17,Best,Good,Average,Low,,
18,Best,Good,Average,Low,,
19,Best,Good,Average,Low,,
20,Best,Good,Average,Low,,
21,Best,Good,Average,Low,,
22,Best,Good,Average,Low,,
23,Best,Good,Average,Low,,
24,Best,Good,High Average,Low Average,Low,
25,Best,Good,High Average,Low Average,Low,
26,Best,Good,Average,Low,,
27,Best,Good,Average,Low,,
28,Best,Good,Average,Low,,
29,Best,Good,Average,Low,,
30,Best,Good,Average,Low,,
31,Best,Good,Average,Low,,
32,Best,Good,Average,Low,,
33,Best,Good,Average,Low,,
34,Best,Good,Average,Low,,
35,Best,Good,Average,Low,,
36,Best,Good,Average,Low,,
37,Best,Good,Average,Low,,
38,Best,Good,Average,Low,,
39,Best,Good,Average,Low,,
40,Best,Good,Average,Low,,
41,Best,Good,Average,Low,,
42,Best,Good,Average,Low,,
43,Best,Good,Average,Low,,
44,Best,Good,Average,Low,,
45,Best,Good,Average,Low,,
46,Best,Good,Average,Low,,
47,Best,Very Good,Good,Average,Low,
48,Good,Average,Low,,,
49,Best,Good,Average,Low,,
50,Wood Frame,Masonry or Concrete,"Painted Steel, Good","Painted Steel, Average","Painted Steel, Low",
51,Good,Average,Low,,,
52,Best,Good,Average,Low,,
53,Best,Good,Average,Low,,
54,Best,Good,Average,Low,,
55,Best,Good,Average,Low,,
56,Best,Good,Average,Low,,
57,Best,Good,Average,Low,,
58,Best,Good,Average,Low,,
60,Best,Good,Average,Low,,
61,Best,Good,High Average,Low Average,Low,
90,Good,Average,Low,,,
91,Good,Average,Low,,,
92,Good,Average,Low,,,
93,Good,Average,Low,,,
94,Good,Average,Low,,,
95,Good,Average,Low,,,
97,Good,Average,Low,,,
98,Good,Average,Low,,,
99,Good,Average,Low,,,
100,Good,Average,,,,
101,Good,Average,Low,,,
102,Good,Average,Low,,,
103,Good,Average,Low,,,
104,Good,Average,Low,,,
105,Best,Prefabricated,Good,Average,Low,
106,High,Average,Low,,,
401,Best,Good,Average,Low,,
402,Best,Good,Average,Low,,
403,Best,Good,Average,Low,,
404,Best,Good,Average,Low,,
405,Best,Good,Average,Low,,
406,Best,Good,Average,Low,,
407,Best,Good,Average,Low,,
408,Best,Good,Average,Low,,
409,Best,Good,Average,Low,,
410,Best,Good,Average,Low,,
